2026-05-04 19:46:29 | RetrievalService | INFO | RetrievalService initialized
2026-05-04 21:19:54 | RetrievalService | INFO | RetrievalService initialized
2026-05-05 16:25:34 | RetrievalService | INFO | RetrievalService initialized
2026-05-05 16:25:40 | RetrievalService | INFO | RetrievalService initialized
2026-05-05 16:26:27 | RetrievalService | INFO | RetrievalService initialized
2026-05-05 16:26:46 | RetrievalService | INFO | RetrievalService initialized
2026-05-05 16:26:59 | RetrievalService | INFO | RetrievalService initialized
2026-05-05 17:30:20 | RetrievalService | INFO | RetrievalService initialized
2026-05-05 17:30:26 | RetrievalService | INFO | RetrievalService initialized
